Name,Height,Weight,Reach,W,L,D,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,edad,ufc_bouts,racha,St_Open Stance,St_Orthodox,St_Sideways,St_Southpaw,St_Switch
Derek Brunson,185.0,185.0,196.0,23.0,8.0,0.0,3.51,47,3.05,51,3.14,33,85,0.6,39.0,21,-2,False,False,False,True,False
Rafael Alves,173.0,155.0,173.0,20.0,11.0,0.0,1.85,48,3.3,58,0.29,25,44,1.5,33.0,4,-2,False,True,False,False,False
Leonardo Morales,173.0,135.0,173.0,6.0,1.0,0.0,2.05,47,2.05,58,0.0,0,62,0.0,31.0,2,-2,False,False,False,True,False
Tonya Evinger,170.0,135.0,178.0,19.0,7.0,0.0,1.16,42,4.02,38,0.93,30,33,0.9,42.0,3,-3,False,True,False,False,False
Josh Bryant,178.0,185.0,178.0,15.0,3.0,0.0,1.1,20,6.1,43,0.0,0,0,0.0,43.0,1,-1,False,True,False,False,False
Jamie Moyle,155.0,115.0,165.0,4.0,2.0,0.0,4.51,51,4.0,65,1.0,21,50,0.0,34.0,3,-2,False,True,False,False,False
Dominick Cruz,173.0,135.0,173.0,24.0,3.0,0.0,3.91,33,2.61,70,2.82,42,83,0.1,38.0,10,-1,False,True,False,False,False
Mark Weir,188.0,185.0,188.0,21.0,17.0,1.0,1.54,56,2.5,38,0.8,50,25,2.4,56.0,3,-2,False,False,False,True,False
Dustin Ortiz,165.0,125.0,165.0,19.0,7.0,0.0,2.94,44,2.17,56,3.01,36,52,0.1,35.0,14,-1,False,True,False,False,False
Fernando Bruno,168.0,145.0,168.0,15.0,3.0,0.0,1.75,39,1.78,48,2.02,22,56,0.5,41.0,2,-2,False,True,False,False,False
Maki Pitolo,178.0,185.0,190.0,13.0,8.0,0.0,4.1,44,3.93,55,2.24,52,50,0.8,33.0,6,-4,False,True,False,False,False
Leo Kuntz,178.0,155.0,178.0,18.0,3.0,1.0,1.68,32,3.8,45,1.99,25,33,0.7,40.0,2,-2,False,True,False,False,False
Ismail Naurdiev,178.0,170.0,188.0,19.0,3.0,0.0,3.17,52,1.3,68,1.25,71,70,0.2,27.0,4,-1,False,True,False,False,False
Liliya Shakirova,163.0,125.0,165.0,8.0,1.0,0.0,2.7,30,2.58,74,0.0,0,0,0.0,32.0,1,-1,False,True,False,False,False
Luiz Dutra,180.0,170.0,180.0,13.0,5.0,1.0,3.92,50,4.8,41,0.0,0,100,0.0,41.0,2,-2,False,True,False,False,False
Laverne Clark,180.0,170.0,180.0,27.0,20.0,1.0,0.0,0,0.0,0,0.0,0,0,0.0,50.0,4,-1,False,True,False,False,False
Harry Moskowitz,196.0,275.0,196.0,6.0,11.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,2,-2,False,True,False,False,False
Jake O'Brien,190.0,205.0,193.0,15.0,3.0,0.0,1.31,31,1.92,69,6.39,54,25,0.2,39.0,7,-1,False,True,False,False,False
Hector Sandoval,157.0,125.0,163.0,14.0,3.0,0.0,3.31,52,2.33,65,3.49,25,71,1.4,37.0,4,-1,False,True,False,False,False
Justin Tafa,183.0,264.0,188.0,5.0,3.0,0.0,5.09,54,5.95,49,0.0,0,100,0.0,30.0,6,2,False,False,False,True,False
Cory Hendricks,190.0,205.0,190.0,3.0,0.0,0.0,3.13,39,4.07,42,0.0,0,100,0.0,35.0,1,-1,False,True,False,False,False
Enrique Marin,178.0,170.0,178.0,10.0,3.0,0.0,1.43,33,3.0,50,2.5,38,60,1.0,37.0,2,-2,False,True,False,False,False
Reza Nasri,180.0,205.0,180.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
